# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,9.999999400000000316e-01
4.900000000000000000e+01,9.999999400000000316e-01
5.000000000000000000e+01,9.999999400000000316e-01
5.100000000000000000e+01,9.999999400000000316e-01
5.200000000000000000e+01,9.999999400000000316e-01
5.300000000000000000e+01,9.999999400000000316e-01
5.400000000000000000e+01,9.999999400000000316e-01
5.500000000000000000e+01,9.999998799999999521e-01
5.600000000000000000e+01,9.999998799999999521e-01
5.700000000000000000e+01,9.999998799999999521e-01
5.800000000000000000e+01,9.999998199999999837e-01
5.900000000000000000e+01,9.999998199999999837e-01
6.000000000000000000e+01,9.999998199999999837e-01
6.100000000000000000e+01,9.999997600000000153e-01
6.200000000000000000e+01,9.999997600000000153e-01
6.300000000000000000e+01,9.999997000000000469e-01
6.400000000000000000e+01,9.999996399999999674e-01
6.500000000000000000e+01,9.999995799999999990e-01
6.600000000000000000e+01,9.999995799999999990e-01
6.700000000000000000e+01,9.999995200000000306e-01
6.800000000000000000e+01,9.999994599999999512e-01
6.900000000000000000e+01,9.999993400000000143e-01
7.000000000000000000e+01,9.999992800000000459e-01
7.100000000000000000e+01,9.999992300000000167e-01
7.200000000000000000e+01,9.999991099999999689e-01
7.300000000000000000e+01,9.999989900000000320e-01
7.400000000000000000e+01,9.999988699999999842e-01
7.500000000000000000e+01,9.999987500000000473e-01
7.600000000000000000e+01,9.999986299999999995e-01
7.700000000000000000e+01,9.999984499999999832e-01
7.800000000000000000e+01,9.999982699999999669e-01
7.900000000000000000e+01,9.999980899999999506e-01
8.000000000000000000e+01,9.999979100000000454e-01
8.100000000000000000e+01,9.999976799999999999e-01
8.200000000000000000e+01,9.999974400000000152e-01
8.300000000000000000e+01,9.999972000000000305e-01
8.400000000000000000e+01,9.999968999999999664e-01
8.500000000000000000e+01,9.999966000000000133e-01
8.600000000000000000e+01,9.999962999999999491e-01
8.700000000000000000e+01,9.999959499999999668e-01
8.800000000000000000e+01,9.999955299999999658e-01
8.900000000000000000e+01,9.999951099999999649e-01
9.000000000000000000e+01,9.999946400000000457e-01
9.100000000000000000e+01,9.999941599999999653e-01
9.200000000000000000e+01,9.999936200000000275e-01
9.300000000000000000e+01,9.999930900000000289e-01
9.400000000000000000e+01,9.999924300000000432e-01
9.500000000000000000e+01,9.999917699999999465e-01
9.600000000000000000e+01,9.999910600000000427e-01
9.700000000000000000e+01,9.999903399999999776e-01
9.800000000000000000e+01,9.999895100000000259e-01
9.900000000000000000e+01,9.999886199999999947e-01
1.000000000000000000e+02,9.999876599999999449e-01
1.010000000000000000e+02,9.999867099999999454e-01
1.020000000000000000e+02,9.999856400000000090e-01
1.030000000000000000e+02,9.999844399999999744e-01
1.040000000000000000e+02,9.999832499999999902e-01
1.050000000000000000e+02,9.999819399999999581e-01
1.060000000000000000e+02,9.999805699999999575e-01
1.070000000000000000e+02,9.999790800000000202e-01
1.080000000000000000e+02,9.999774700000000349e-01
1.090000000000000000e+02,9.999757999999999702e-01
1.100000000000000000e+02,9.999740099999999687e-01
1.110000000000000000e+02,9.999721099999999696e-01
1.120000000000000000e+02,9.999701399999999518e-01
1.130000000000000000e+02,9.999679900000000288e-01
1.140000000000000000e+02,9.999657299999999971e-01
1.150000000000000000e+02,9.999632800000000099e-01
1.160000000000000000e+02,9.999607799999999935e-01
1.170000000000000000e+02,9.999580399999999925e-01
1.180000000000000000e+02,9.999551800000000545e-01
1.190000000000000000e+02,9.999521999999999577e-01
1.200000000000000000e+02,9.999489799999999873e-01
1.210000000000000000e+02,9.999456399999999689e-01
1.220000000000000000e+02,9.999420599999999659e-01
1.230000000000000000e+02,9.999383099999999969e-01
1.240000000000000000e+02,9.999343200000000431e-01
1.250000000000000000e+02,9.999301400000000228e-01
1.260000000000000000e+02,9.999257299999999571e-01
1.270000000000000000e+02,9.999210200000000492e-01
1.280000000000000000e+02,9.999161399999999533e-01
1.290000000000000000e+02,9.999109499999999651e-01
1.300000000000000000e+02,9.999055300000000424e-01
