# Time [s], Temperature [C]
1.000000000000000000e+00,2.499998499999999879e+01
2.000000000000000000e+00,3.264313500000000090e+01
3.000000000000000000e+00,3.701750200000000035e+01
4.000000000000000000e+00,4.062166599999999761e+01
5.000000000000000000e+00,4.366911699999999996e+01
6.000000000000000000e+00,4.639899400000000185e+01
7.000000000000000000e+00,4.891382200000000324e+01
8.000000000000000000e+00,5.128917299999999813e+01
9.000000000000000000e+00,5.357067099999999726e+01
1.000000000000000000e+01,5.578837999999999653e+01
1.100000000000000000e+01,5.796165500000000037e+01
1.200000000000000000e+01,6.010239399999999677e+01
1.300000000000000000e+01,6.221897500000000036e+01
1.400000000000000000e+01,6.431621599999999717e+01
1.500000000000000000e+01,6.639742300000000341e+01
1.600000000000000000e+01,6.846488200000000290e+01
1.700000000000000000e+01,7.051971399999999335e+01
1.800000000000000000e+01,7.256301100000000304e+01
1.900000000000000000e+01,7.459529100000000312e+01
2.000000000000000000e+01,7.661666900000000169e+01
2.100000000000000000e+01,7.862777699999999470e+01
2.200000000000000000e+01,8.062865399999999738e+01
2.300000000000000000e+01,8.261942299999999761e+01
2.400000000000000000e+01,8.460008999999999446e+01
2.500000000000000000e+01,8.657074000000000069e+01
2.600000000000000000e+01,8.853146399999999971e+01
2.700000000000000000e+01,9.048223099999999874e+01
2.800000000000000000e+01,9.242310299999999756e+01
2.900000000000000000e+01,9.435412599999999372e+01
3.000000000000000000e+01,9.627539099999999905e+01
3.100000000000000000e+01,9.818672200000000316e+01
3.200000000000000000e+01,1.000882699999999943e+02
3.300000000000000000e+01,1.019800199999999961e+02
3.400000000000000000e+01,1.038619800000000026e+02
3.500000000000000000e+01,1.057343400000000031e+02
3.600000000000000000e+01,1.075968500000000034e+02
3.700000000000000000e+01,1.094497700000000009e+02
3.800000000000000000e+01,1.112929500000000047e+02
3.900000000000000000e+01,1.131265599999999978e+02
4.000000000000000000e+01,1.149504400000000004e+02
4.100000000000000000e+01,1.167649200000000036e+02
4.200000000000000000e+01,1.185696099999999973e+02
4.300000000000000000e+01,1.203647399999999976e+02
4.400000000000000000e+01,1.221505099999999970e+02
4.500000000000000000e+01,1.239265599999999949e+02
4.600000000000000000e+01,1.256932999999999936e+02
4.700000000000000000e+01,1.274504000000000019e+02
4.800000000000000000e+01,1.291981800000000078e+02
4.900000000000000000e+01,1.309364500000000078e+02
5.000000000000000000e+01,1.326653300000000115e+02
5.100000000000000000e+01,1.343848000000000127e+02
5.200000000000000000e+01,1.360949699999999893e+02
5.300000000000000000e+01,1.377956499999999949e+02
5.400000000000000000e+01,1.394871699999999919e+02
5.500000000000000000e+01,1.411693699999999865e+02
5.600000000000000000e+01,1.428421899999999880e+02
5.700000000000000000e+01,1.445058699999999874e+02
5.800000000000000000e+01,1.461603200000000129e+02
5.900000000000000000e+01,1.478055300000000045e+02
6.000000000000000000e+01,1.494415600000000097e+02
6.100000000000000000e+01,1.510684500000000128e+02
6.200000000000000000e+01,1.526861900000000105e+02
6.300000000000000000e+01,1.542948499999999967e+02
6.400000000000000000e+01,1.558942900000000122e+02
6.500000000000000000e+01,1.574848000000000070e+02
6.600000000000000000e+01,1.590662499999999966e+02
6.700000000000000000e+01,1.606386899999999969e+02
6.800000000000000000e+01,1.622021900000000016e+02
6.900000000000000000e+01,1.637566999999999950e+02
7.000000000000000000e+01,1.653022599999999898e+02
7.100000000000000000e+01,1.668389699999999891e+02
7.200000000000000000e+01,1.683667000000000087e+02
7.300000000000000000e+01,1.698855700000000013e+02
7.400000000000000000e+01,1.713956300000000113e+02
7.500000000000000000e+01,1.728968700000000069e+02
7.600000000000000000e+01,1.743893999999999949e+02
7.700000000000000000e+01,1.758732100000000003e+02
7.800000000000000000e+01,1.773481800000000135e+02
7.900000000000000000e+01,1.788144399999999905e+02
8.000000000000000000e+01,1.802720300000000009e+02
8.100000000000000000e+01,1.817211000000000070e+02
8.200000000000000000e+01,1.831613900000000115e+02
8.300000000000000000e+01,1.845932200000000023e+02
8.400000000000000000e+01,1.860163599999999917e+02
8.500000000000000000e+01,1.874310600000000022e+02
8.600000000000000000e+01,1.888372999999999990e+02
8.700000000000000000e+01,1.902349399999999946e+02
8.800000000000000000e+01,1.916242699999999957e+02
8.900000000000000000e+01,1.930050999999999988e+02
9.000000000000000000e+01,1.943776599999999917e+02
9.100000000000000000e+01,1.957417100000000119e+02
9.200000000000000000e+01,1.970976400000000126e+02
9.300000000000000000e+01,1.984451300000000060e+02
9.400000000000000000e+01,1.997845199999999863e+02
9.500000000000000000e+01,2.011156499999999880e+02
9.600000000000000000e+01,2.024386000000000081e+02
9.700000000000000000e+01,2.037534300000000087e+02
9.800000000000000000e+01,2.050602599999999995e+02
9.900000000000000000e+01,2.063589599999999962e+02
1.000000000000000000e+02,2.076496699999999862e+02
1.010000000000000000e+02,2.089325100000000077e+02
1.020000000000000000e+02,2.102074100000000101e+02
1.030000000000000000e+02,2.114743300000000090e+02
1.040000000000000000e+02,2.127336300000000051e+02
1.050000000000000000e+02,2.139851099999999917e+02
1.060000000000000000e+02,2.152288800000000037e+02
1.070000000000000000e+02,2.164649799999999971e+02
1.080000000000000000e+02,2.176935100000000034e+02
1.090000000000000000e+02,2.189144599999999912e+02
1.100000000000000000e+02,2.201280700000000081e+02
1.110000000000000000e+02,2.213342299999999909e+02
1.120000000000000000e+02,2.225330399999999997e+02
1.130000000000000000e+02,2.237246100000000126e+02
1.140000000000000000e+02,2.249089400000000012e+02
1.150000000000000000e+02,2.260860900000000129e+02
1.160000000000000000e+02,2.272562100000000100e+02
1.170000000000000000e+02,2.284192799999999863e+02
1.180000000000000000e+02,2.295753799999999956e+02
1.190000000000000000e+02,2.307246100000000126e+02
1.200000000000000000e+02,2.318669899999999870e+02
1.210000000000000000e+02,2.330024699999999882e+02
1.220000000000000000e+02,2.341312900000000070e+02
1.230000000000000000e+02,2.352533099999999990e+02
1.240000000000000000e+02,2.363686199999999928e+02
1.250000000000000000e+02,2.374773099999999886e+02
1.260000000000000000e+02,2.385793899999999894e+02
1.270000000000000000e+02,2.396746200000000044e+02
1.280000000000000000e+02,2.407632399999999961e+02
1.290000000000000000e+02,2.418450799999999958e+02
1.300000000000000000e+02,2.429201400000000035e+02
