Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,3.57e+12,5.29e+13,1.0,0.0,436.95436679680483,1374.9519760775745,0.11384606806442762,0.8751275916515725,1.79e+05,4.88e+05,162673.02629087353,480267.7956102933,24820.219524288652,100000000.0,0.008579425466694967,0.7600923590675025,0.46112520310904526,0.4101145518879842,0.94,0.12540125574723912,0.02398143931985677,7.945486033710744e-05,0.0010380361439140174,1.7611609965131962,5.578073287835828,0.0,0.0,1683.0,1235.0,
0,146.5859,2.71e+12,1.00e+14,1.0,0.0,817.6638442310536,1395.9739159876622,0.09828055017972684,0.5953814609189434,1.79e+05,4.94e+05,260090.3817689693,384060.91788846295,25170.52271925104,100000000.0,0.004885872310434474,0.4233709383667854,0.6768951426428784,0.7848924895557502,0.94,0.4421155357939934,0.04501168694781271,2.4503137729032544e-05,0.00033754233030607636,2.010261824771674,3.7911457252565572,0.0,0.0,1683.0,1235.0,
1,291.5399,4.03e+12,6.88e+13,1.0,0.0,1071.4527251151746,1456.645381130872,0.06331651586962499,0.853242624751924,1.68e+05,4.58e+05,145164.98659658676,411011.7133287215,23927.176380850826,100000000.0,0.004707974924397227,0.49378776331900764,0.5998717281459114,0.7272005497705067,0.94,0.2703218987473588,0.09171484481104311,5.66459023200168e-05,0.0003181703957805844,2.001095862886605,3.734511836688075,0.0,0.0,1683.0,1235.0,
2,442.9919,1.58e+12,2.30e+14,1.0,0.0,988.2573526811248,1230.5847318337837,0.10511284424956586,0.4394052847477221,1.58e+05,4.08e+05,157676.5828013231,452974.8162299647,21935.62181099201,100000000.0,0.003769102324161844,0.6187872854550884,0.34032038092504036,0.7154813545160883,0.94,0.417785581793672,0.08978479463380018,6.885984152919355e-05,0.0005500445552366578,2.204169746043173,4.026097086501748,0.0,0.0,1683.0,1235.0,
3,594.2487,3.14e+12,7.27e+13,1.0,0.0,837.2965079469418,1281.9577912277027,0.030721609794752358,0.3687950801326877,1.72e+05,2.45e+05,259226.38214309403,589429.2508295386,34326.910202431034,100000000.0,0.0025036973236835457,0.6035341407729276,0.6925775955013015,0.7578773801975005,0.94,0.2667425317528742,0.17701255788202866,4.3528103959661443e-05,0.0004541281611634768,1.0190891272628115,1.2746302087946337,0.0,0.0,1683.0,1235.0,
4,746.7185,3.14e+12,7.27e+13,1.0,0.0,837.2965079469418,1281.9577912277027,0.030721609794752358,0.3687950801326877,1.72e+05,2.45e+05,259226.38214309403,589429.2508295386,34326.910202431034,100000000.0,0.0025036973236835457,0.6035341407729276,0.6925775955013015,0.7578773801975005,0.94,0.2667425317528742,0.17701255788202866,4.3528103959661443e-05,0.0004541281611634768,1.0190891272628115,1.2746302087946337,0.0,0.0,1683.0,1235.0,
5,895.9992,3.27e+12,7.82e+13,1.0,0.0,742.0338373345578,2063.9274857228074,0.09902489809568328,0.5844499626917772,1.70e+05,3.65e+05,189970.52024039705,436948.7259950455,22789.853009301874,100000000.0,0.0018871973705986158,0.563715022916109,0.7667149622181986,0.7482939592186836,0.94,0.22204513215102573,0.1133331126624296,3.646098758503785e-05,0.00042703558225353996,2.352970803871045,2.3945568380156015,0.0,0.0,1683.0,1235.0,
6,1044.0503,2.52e+12,1.08e+14,1.0,0.0,975.8346793477283,1885.3061438159634,0.08719542052930356,0.5139101417395232,1.76e+05,4.15e+05,132577.67569238905,475467.4841024398,23147.69081030185,100000000.0,0.0011753172563904856,0.5655612597859311,0.7750181492806967,0.8884449605748987,0.94,0.3008215138149005,0.10094504020233472,4.2141691164467505e-05,0.000390878924736283,1.7850848539136992,2.6889704157887557,0.0,0.0,1683.0,1235.0,
7,1193.2984,2.52e+12,1.08e+14,1.0,0.0,975.8346793477283,1885.3061438159634,0.08719542052930356,0.5139101417395232,1.76e+05,4.15e+05,132577.67569238905,475467.4841024398,23147.69081030185,100000000.0,0.0011753172563904856,0.5655612597859311,0.7750181492806967,0.8884449605748987,0.94,0.3008215138149005,0.10094504020233472,4.2141691164467505e-05,0.000390878924736283,1.7850848539136992,2.6889704157887557,0.0,0.0,1683.0,1235.0,
8,1345.4401,2.91e+12,8.67e+13,1.0,0.0,896.6824865879942,1591.079041146197,0.06716983419751964,0.4781329985206273,1.76e+05,3.83e+05,157189.19969894443,419878.76270894456,27495.688011452658,100000000.0,0.0008651184996988522,0.5868762094886315,0.7837888554682415,0.8414547371179517,0.94,0.2533234463915347,0.0978064414861177,3.3784686427103255e-05,0.0004388843373451673,1.5740062303019524,2.5220723194751518,0.0,0.0,1683.0,1235.0,
9,1504.6382,3.02e+12,8.60e+13,1.0,0.0,908.4381961234271,1596.8539140668788,0.06964218452435494,0.47775934022176214,1.74e+05,3.72e+05,161832.77149050025,449759.1500016457,27380.168566352026,100000000.0,0.0007810837816403125,0.5853831121186901,0.7872724974672135,0.8351124191187504,0.94,0.24600928737626443,0.10745358997015544,3.659981340579357e-05,0.00044276225648684085,1.5660166079816729,2.408647767329308,0.0,0.0,1683.0,1235.0,
10,1666.0633,2.92e+12,1.00e+14,1.0,0.0,934.3631949018925,1419.7637427545774,0.062389247948668375,0.44422088532958226,1.74e+05,3.81e+05,165597.03230170265,473718.6192406418,28139.24086853887,100000000.0,0.000596299004746961,0.5842257564704635,0.7681676816639229,0.8362165602696527,0.94,0.256422240791922,0.11230611516220704,4.05122878403968e-05,0.0004448419645216959,1.4616618067724438,2.5833500432246237,0.0,0.0,1683.0,1235.0,
11,1820.5211,2.26e+12,9.91e+13,1.0,0.0,965.8989433418833,1111.6191040425406,0.03710453386230296,0.32417876307179183,1.74e+05,3.54e+05,178747.4755071394,430711.5499455341,30472.732749241677,100000000.0,0.0004702803160897193,0.5839871254847213,0.8324646004053254,0.8629321389808765,0.94,0.28009848036749846,0.10757700788260437,3.702184416044261e-05,0.0004479527669184305,1.1142639451844103,2.488065428954293,0.0,0.0,1683.0,1235.0,
